As Of,NAV per Share,Daily NAV Change,Daily NAV Change %
05/Dec/2014,14.40,0.14,0.98
04/Dec/2014,14.26,-0.05,-0.35
03/Dec/2014,14.31,0.20,1.42
02/Dec/2014,14.11,0.00,0.00
01/Dec/2014,14.11,-0.14,-0.98
28/Nov/2014,14.25,0.01,0.07
27/Nov/2014,14.24,0.15,1.06
26/Nov/2014,14.09,-0.03,-0.21
25/Nov/2014,14.12,-0.01,-0.07
24/Nov/2014,14.13,0.02,0.14
21/Nov/2014,14.11,0.29,2.10
20/Nov/2014,13.82,0.00,0.00
19/Nov/2014,13.82,-0.13,-0.93
18/Nov/2014,13.95,-0.02,-0.14
17/Nov/2014,13.97,-0.01,-0.07
14/Nov/2014,13.98,-0.04,-0.29
13/Nov/2014,14.02,0.11,0.79
12/Nov/2014,13.91,-0.07,-0.50
11/Nov/2014,13.98,0.08,0.58
10/Nov/2014,13.90,0.10,0.72
07/Nov/2014,13.80,-0.10,-0.72
06/Nov/2014,13.90,0.03,0.22
05/Nov/2014,13.87,0.02,0.14
04/Nov/2014,13.85,-0.05,-0.36
03/Nov/2014,13.90,0.06,0.43
31/Oct/2014,13.84,0.42,3.13
30/Oct/2014,13.42,0.10,0.75
29/Oct/2014,13.32,0.00,0.00
28/Oct/2014,13.32,0.15,1.14
27/Oct/2014,13.17,-0.01,-0.08
24/Oct/2014,13.18,0.06,0.46
23/Oct/2014,13.12,-0.03,-0.23
22/Oct/2014,13.15,0.30,2.33
21/Oct/2014,12.85,0.21,1.66
20/Oct/2014,12.64,0.01,0.08
17/Oct/2014,12.63,0.11,0.88
16/Oct/2014,12.52,0.01,0.08
15/Oct/2014,12.51,-0.13,-1.03
14/Oct/2014,12.64,0.06,0.48
13/Oct/2014,12.58,-0.34,-2.63
10/Oct/2014,12.92,-0.20,-1.52
09/Oct/2014,13.12,0.06,0.46
08/Oct/2014,13.06,-0.22,-1.66
07/Oct/2014,13.28,-0.26,-1.92
06/Oct/2014,13.54,0.08,0.59
03/Oct/2014,13.46,0.26,1.97
02/Oct/2014,13.20,-0.15,-1.12
01/Oct/2014,13.35,-0.15,-1.11
30/Sept/2014,13.50,0.17,1.28
29/Sept/2014,13.33,-0.05,-0.37
26/Sept/2014,13.38,0.04,0.30
25/Sept/2014,13.34,0.05,0.38
24/Sept/2014,13.29,0.07,0.53
23/Sept/2014,13.22,-0.15,-1.12
22/Sept/2014,13.37,-0.16,-1.18
19/Sept/2014,13.53,0.17,1.27
18/Sept/2014,13.36,0.14,1.06
17/Sept/2014,13.22,0.12,0.92
16/Sept/2014,13.10,-0.10,-0.76
15/Sept/2014,13.20,-0.13,-0.98
12/Sept/2014,13.33,-0.01,-0.07
11/Sept/2014,13.34,0.01,0.08
10/Sept/2014,13.33,-0.13,-0.97
09/Sept/2014,13.46,0.00,0.00
08/Sept/2014,13.46,0.12,0.90
05/Sept/2014,13.34,-0.04,-0.30
04/Sept/2014,13.38,0.05,0.38
03/Sept/2014,13.33,0.06,0.45
02/Sept/2014,13.27,0.07,0.53
01/Sept/2014,13.20,0.13,0.99
