As Of,NAV per Share,Daily NAV Change,Daily NAV Change %
11-Nov-15,17.28,-0.05,-0.29
10-Nov-15,17.33,-0.15,-0.86
09-Nov-15,17.48,0.04,0.23
06-Nov-15,17.44,-0.01,-0.06
05-Nov-15,17.45,0.12,0.69
04-Nov-15,17.33,0.28,1.64
03-Nov-15,17.05,0.22,1.31
02-Nov-15,16.83,0.14,0.84
30-Oct-15,16.69,0.10,0.60
29-Oct-15,16.59,0.15,0.91
28-Oct-15,16.44,0.09,0.55
27-Oct-15,16.35,-0.08,-0.49
26-Oct-15,16.43,-0.06,-0.36
23-Oct-15,16.49,0.43,2.68
22-Oct-15,16.06,0.30,1.90
21-Oct-15,15.76,0.12,0.77
20-Oct-15,15.64,-0.01,-0.06
19-Oct-15,15.65,0.14,0.90
16-Oct-15,15.51,-0.03,-0.19
15-Oct-15,15.54,0.23,1.50
14-Oct-15,15.31,-0.16,-1.03
13-Oct-15,15.47,-0.02,-0.13
12-Oct-15,15.49,-0.01,-0.06
09-Oct-15,15.50,0.01,0.06
08-Oct-15,15.49,-0.05,-0.32
07-Oct-15,15.54,0.16,1.04
06-Oct-15,15.38,0.16,1.05
05-Oct-15,15.22,0.55,3.75
02-Oct-15,14.67,-0.20,-1.34
01-Oct-15,14.87,0.11,0.75
30-Sep-15,14.76,0.36,2.50
29-Sep-15,14.40,-0.24,-1.64
28-Sep-15,14.64,-0.24,-1.61
25-Sep-15,14.88,0.31,2.13
24-Sep-15,14.57,-0.37,-2.48
23-Sep-15,14.94,-0.21,-1.39
22-Sep-15,15.15,-0.08,-0.53
21-Sep-15,15.23,0.09,0.59
18-Sep-15,15.14,-0.31,-2.01
17-Sep-15,15.45,0.05,0.32
16-Sep-15,15.40,0.18,1.18
15-Sep-15,15.22,0.08,0.53
14-Sep-15,15.14,0.06,0.40
11-Sep-15,15.08,-0.05,-0.33
10-Sep-15,15.13,-0.41,-2.64
09-Sep-15,15.54,0.36,2.37
08-Sep-15,15.18,0.23,1.54
07-Sep-15,14.95,-0.05,-0.33
04-Sep-15,15.00,-0.21,-1.38
03-Sep-15,15.21,0.37,2.49
02-Sep-15,14.84,-0.01,-0.07
01-Sep-15,14.85,-0.33,-2.17
31-Aug-15,15.18,-0.04,-0.26
28-Aug-15,15.22,0.26,1.74
27-Aug-15,14.96,0.56,3.89
26-Aug-15,14.40,0.05,0.35
25-Aug-15,14.35,0.67,4.90
24-Aug-15,13.68,-1.35,-8.98
21-Aug-15,15.03,-0.56,-3.59
20-Aug-15,15.59,-0.40,-2.50
19-Aug-15,15.99,-0.16,-0.99
18-Aug-15,16.15,0.21,1.32
17-Aug-15,15.94,-0.04,-0.25
14-Aug-15,15.98,-0.05,-0.31
13-Aug-15,16.03,0.27,1.71
12-Aug-15,15.76,-0.46,-2.84
11-Aug-15,16.22,-0.15,-0.92
10-Aug-15,16.37,0.07,0.43
07-Aug-15,16.30,-0.06,-0.37
06-Aug-15,16.36,-0.13,-0.79
05-Aug-15,16.49,0.23,1.41
04-Aug-15,16.26,-0.22,-1.33
03-Aug-15,16.48,0.14,0.86
